Site,Location,Days_Exposure,Avg_temp,t_Degree_days,type,X0 (+- 0.1),Xt_R1,Xt_R2,Xt_R3,Xt_R4,k_R1,k_R2,k_R3,k_R4,k_mean
1,Downstream,21,12.00655238,252.1376,Green,1.95,0.545,0.57,0.577,0.543,0.005055957,0.004878076,0.004829666,0.005070538,0.004958559
2,Downstream,21,12.6875,266.4375,Green,1.95,0.625,0.652,0.752,0.621,0.004270536,0.004111801,0.003576248,0.004294634,0.004063305
3,Downstream,21,13.57648221,285.1061265,Green,1.95,0.737,0.623,0.585,0.625,0.003412754,0.004002154,0.004222895,0.003990912,0.003907179
4,Downstream,21,13.36699605,280.706917,Green,1.95,0.693,0.59,0.619,0.557,0.003685532,0.004258754,0.004087819,0.004463798,0.004123976
5,Downstream,21,12.00655238,252.1376,Green,1.95,0.639,0.653,0.613,0.639,0.004424879,0.004338924,0.004589628,0.004424879,0.004444578
6,Enclosure,21,12.11660079,254.4486166,Green,1.95,0.661,0.733,0.692,0.674,0.004251661,0.003845324,0.004071538,0.004175118,0.00408591
7,Enclosure,21,12.79319149,268.6570213,Green,1.95,0.687,0.692,0.687,0.681,0.003883206,0.003856213,0.003883206,0.003915857,0.00388462
8,Enclosure,21,11.89782609,249.8543478,Green,1.95,0.757,0.781,0.732,0.748,0.003787097,0.003662177,0.003921507,0.003834966,0.003801437
9,Enclosure,21,13.02588933,273.5436759,Green,1.95,0.823,0.807,0.648,0.803,0.003153527,0.003225298,0.004027484,0.003243463,0.003412443
10,Enclosure,21,12.76600791,268.086166,Green,1.95,0.598,0.687,0.613,0.687,0.00440901,0.003891476,0.004316599,0.003891476,0.00412714
11,Control,21,12.31264822,258.5656126,Green,1.95,0.626,0.67,0.662,0.834,0.004394368,0.004131661,0.004178117,0.003284853,0.00399725
12,Control,21,12.23636364,256.9636364,Green,1.95,0.699,0.69,0.772,0.686,0.00399252,0.004042952,0.003605953,0.004065577,0.003926751
13,Control,21,13.62667984,286.1602767,Green,1.95,0.606,0.605,0.649,0.624,0.004084095,0.004089866,0.003844534,0.003981808,0.004000076
14,Control,21,18.2243083,382.7104743,Green,1.95,0.495,0.469,0.611,0.475,0.003582417,0.003723399,0.00303229,0.003690183,0.003507072
15,Control,21,9.404150198,197.4871542,Green,1.95,0.68,0.715,0.684,0.709,0.005334487,0.005080345,0.005304788,0.005123016,0.005210659
