,gammarus,acellus,cased caddis,baby gammarus,caseless cadis,baby crayfish,leech,snails
S1 Oak Coarse ,6.5,2.25,1.75,7,0,0,0,2.75
S2 Oak Coarse,15,0,0.25,13,0,0,0,0
S3 Oak Coarse,14.25,0,0,15.5,0,0,0,0
S4 Oak Coarse,43,0,0,16.25,0,0,0,0
S5 Oak Coarse ,27,0,1,9.75,0.25,0.5,0,0
S6 Oak Coarse,21.5,1.25,0,13,0.75,0,0,0
S7 Oak Coarse,3.75,0,0,3,0.5,0,0,0
S8 Oak Coarse,3.25,0.25,0,1.75,0,0,2.75,0
S9 Oak Coarse,0.5,0,0,0.25,0,0,0,0
S10 Oak Coarse,33.75,2,0,15.25,0,0,0,0
S11 Oak Coarse,24.5,0,0,18.75,0.5,1.75,0,0
S12 Oak Coarse,5,0,0,2.75,0,0.25,0,0
S13 Oak Coarse,3.75,2.75,0,1.75,0,0,0,0.25
S14 Oak Coarse,9.5,0,0,4.5,0,0.5,0,0.25
S15 Oak Coarse,29.5,1,0.25,12.25,0.25,0,0,0
